,TransOrder,M_MSL,M_MHHW,Beach,Distance_ft,Max_Ero,Max_25,Max_50,Max_150
39,57,2937.24707,3005.800781,Gazos,68.55371099999999,3266.9833861548505,3274.081917260717,3281.180448366584,3309.574572790052
40,58,2968.84668,3032.888428,Gazos,64.041748,3260.3211935427635,3306.7500076335477,3353.1788217243316,3538.8940780874673
41,59,2941.206055,3006.877197,Gazos,65.6711426,3223.386443278138,3269.324036675899,3315.261630073661,3499.0120036647068
42,29,2210.669434,2267.279297,Gazos,56.609863299999994,2415.2767467648105,2450.013963385817,2484.7511800068232,2623.7000464908488
43,30,2194.739014,2256.193604,Gazos,61.454589799999994,2436.0816829724317,2470.647442185642,2505.2132013988526,2643.4762382516938
44,31,2165.274902,2215.242432,Gazos,49.967529299999995,2395.0036333481216,2428.8373041827385,2462.670975017356,2598.005658355824
45,32,2136.512451,2215.09082,Gazos,78.5783691,2446.0136198481237,2479.8757595835623,2513.7378993190005,2649.186458260754
46,33,2143.684082,2221.322754,Gazos,77.6386719,2469.221039849238,2503.026338813416,2536.8316377775936,2672.052833634305
47,34,2165.823486,2235.227539,Gazos,69.40405279999999,2452.2159971608044,2486.3802581363125,2520.5445191118206,2657.201563013853
48,35,2160.821045,2232.860596,Gazos,72.03955079999999,2455.920424687725,2490.037714764958,2524.155004842191,2660.6241651511227
49,36,2162.162842,2215.549072,Gazos,53.3862305,2428.7692402767675,2462.664335834407,2496.559431392047,2632.139813622606
50,37,2233.963379,2282.881348,Gazos,48.9179688,2483.2855989718273,2518.2693148661215,2553.253030760416,2693.187894337593
51,38,2320.857666,2373.682373,Gazos,52.824707,2608.8188003818304,2644.997318307509,2681.1758362331875,2825.8899079359007
52,39,2308.935547,2344.75,Gazos,35.8144531,2550.1482252348715,2586.206203576421,2622.2641819179707,2766.496095284169
53,40,2273.4291989999997,2343.150635,Gazos,69.72143559999999,2398.212487856234,2434.2625087067036,2470.312529557173,2614.5126129590512
54,41,2326.7739260000003,2407.804932,Gazos,81.0310058,2705.1420439084263,2741.7073293235194,2778.272614738613,2924.533756398986
55,42,2375.3232420000004,2444.667236,Gazos,69.3439941,2696.7734970072484,2734.0062723814044,2771.239047755561,2920.1701492521856
56,43,2395.4213870000003,2476.924316,Gazos,81.5029297,2736.7855308230646,2774.5766897523617,2812.367848681659,2963.5324843988465
57,44,2408.59668,2489.584717,Gazos,80.9880371,2748.8519357366044,2786.6778112692577,2824.503686801911,2975.8071889325247
58,45,2427.752197,2488.3354489999997,Gazos,60.5832519,2710.760748647424,2748.8195305223876,2786.878312397351,2939.1134398972044
59,46,2422.689697,2491.813232,Gazos,69.12353509999998,2725.089354291396,2763.1099050926523,2801.130455893909,2953.2126590989346
60,47,2444.426514,2514.941406,Gazos,70.5148926,2765.606720708444,2804.002338757743,2842.3979568070417,2995.9804290042366
61,48,2513.957031,2575.403809,Gazos,61.446777299999994,2771.8128618100927,2811.1969574319296,2850.581053053766,3008.1174355411126
62,49,2555.12207,2617.815186,Gazos,62.6931152,2803.9874347138866,2844.131057742971,2884.274680772055,3044.849172888391
63,50,2572.167725,2638.2260739999997,Gazos,66.0583496,2859.1748845416782,2899.5085852578545,2939.842285974031,3101.1770888387364
64,51,2633.974609,2694.701904,Gazos,60.727294900000004,2921.203760545711,2962.3960619373706,3003.5883633290305,3168.3575688956694
65,52,2674.543945,2750.121582,Ano,75.57763670000001,3068.370654295549,3110.2413849002255,3152.112115504902,3319.5950379236074
66,60,4851.546875,4906.369629,Ano,54.8227539,5242.087775552088,5316.70869528661,5391.329615021133,5689.813293959222
67,61,4889.492676,4942.746094,Ano,53.253418,5213.057443271463,5288.8965916237685,5364.735739976073,5668.092333385294
68,62,4921.778809,4976.611816,Ano,54.8330078,5315.770122003717,5391.718800724689,5467.667479445661,5771.4621943295515
69,63,5003.67334,5063.899414,Ano,60.2260743,5338.262180966272,5415.888461765245,5493.514742564217,5804.019865760106
70,64,5055.313477000001,5118.634277,Ano,63.3208007,5381.52334430045,5459.801578112957,5538.079811925464,5851.192747175492
71,65,5101.266602000001,5176.124022999999,Ano,74.8574218,5495.308045293066,5574.805495005091,5654.302944717116,5972.292743565216
