OBJECTID,TransOrder,POINT_X,POINT_Y,UniqueID,M_ft,Z_ft,Beach,Fema_VE_ft
310,1,6008008.269,1935863.315,310,5042.640731,177.6640015,Pomponio,23
311,1,6008011.51,1935862.807,311,5045.921638,178.7870026,Pomponio,23
312,1,6008014.751,1935862.3,312,5049.202545,180.2910004,Pomponio,23
313,1,6008017.993,1935861.793,313,5052.483179,180.7100067,Pomponio,23
314,1,6008021.234,1935861.285,314,5055.764087,181.2389984,Pomponio,23
315,1,6008024.476,1935860.778,315,5059.045045,181.8159943,Pomponio,23
316,1,6008027.717,1935860.271,316,5062.325952,182.3699951,Pomponio,23
317,1,6008030.958,1935859.763,317,5065.606586,182.3430023,Pomponio,23
318,1,6008034.2,1935859.256,318,5068.887494,184.0540009,Pomponio,23
319,1,6008037.441,1935858.748,319,5072.168452,184.0240021,Pomponio,23
320,1,6008040.682,1935858.241,320,5075.449035,183.9909973,Pomponio,23
321,1,6008043.924,1935857.734,321,5078.729994,183.3619995,Pomponio,23
322,1,6008047.165,1935857.226,322,5082.010901,182.8410034,Pomponio,23
323,1,6008050.406,1935856.719,323,5085.291535,182.4149933,Pomponio,23
324,1,6008053.648,1935856.212,324,5088.572442,182.1640015,Pomponio,23
325,1,6008056.889,1935855.704,325,5091.85335,183.9819946,Pomponio,23
326,1,6008060.131,1935855.197,326,5095.134308,183.3110046,Pomponio,23
327,1,6008063.372,1935854.69,327,5098.414891,183.2259979,Pomponio,23
328,1,6008066.613,1935854.182,328,5101.695849,182.3990021,Pomponio,23
329,1,6008069.855,1935853.675,329,5104.976757,183.3470001,Pomponio,23
330,1,6008073.096,1935853.167,330,5108.257391,183.9409943,Pomponio,23
331,1,6008076.337,1935852.66,331,5111.538298,183.3619995,Pomponio,23
332,1,6008079.579,1935852.153,332,5114.819256,183.4490051,Pomponio,23
333,1,6008082.82,1935851.645,333,5118.09984,184.3139954,Pomponio,23
334,1,6008086.061,1935851.138,334,5121.380798,185.3950043,Pomponio,23
335,1,6008089.303,1935850.631,335,5124.661705,186.9019928,Pomponio,23
336,1,6008092.544,1935850.123,336,5127.942613,187.2610016,Pomponio,23
337,1,6008095.785,1935849.616,337,5131.223247,187.5,Pomponio,23
338,1,6008099.027,1935849.109,338,5134.504154,187.75,Pomponio,23
339,1,6008102.268,1935848.601,339,5137.785112,188.1829987,Pomponio,23
340,1,6008105.509,1935848.094,340,5141.065696,188.0950012,Pomponio,23
341,1,6008108.751,1935847.586,341,5144.346654,187.8869934,Pomponio,23
342,1,6008111.992,1935847.079,342,5147.627561,187.6710052,Pomponio,23
343,1,6008115.234,1935846.572,343,5150.908195,187.154007,Pomponio,23
344,1,6008118.475,1935846.064,344,5154.189103,187.1750031,Pomponio,23
345,1,6008121.716,1935845.557,345,5157.470061,188.5939941,Pomponio,23
346,1,6008124.958,1935845.05,346,5160.750968,190.8339996,Pomponio,23
347,1,6008128.199,1935844.542,347,5164.031602,193.095993,Pomponio,23
348,1,6008131.441,1935844.035,348,5167.31251,194.822998,Pomponio,23
349,1,6008134.682,1935843.528,349,5170.593417,195.7299957,Pomponio,23
350,1,6008137.923,1935843.02,350,5173.874051,194.6710052,Pomponio,23
351,1,6008141.165,1935842.513,351,5177.154959,190.7570038,Pomponio,23
352,1,6008144.406,1935842.005,352,5180.435917,190.772995,Pomponio,23
353,1,6008147.647,1935841.498,353,5183.7165,190.5350037,Pomponio,23
354,1,6008150.889,1935840.991,354,5186.997458,191.003006,Pomponio,23
355,1,6008154.13,1935840.483,355,5190.278366,192.1580048,Pomponio,23
356,1,6008157.372,1935839.976,356,5193.559324,196.2109985,Pomponio,23
357,1,6008160.613,1935839.469,357,5196.839907,194.5010071,Pomponio,23
358,1,6008163.854,1935838.961,358,5200.120865,195.121994,Pomponio,23
359,1,6008167.096,1935838.454,359,5203.401773,194.6750031,Pomponio,23
360,1,6008170.337,1935837.947,360,5206.682356,195.128006,Pomponio,23
361,1,6008173.578,1935837.439,361,5209.963314,197.0480042,Pomponio,23
362,1,6008176.82,1935836.932,362,5213.244222,200.3059998,Pomponio,23
363,1,6008180.061,1935836.424,363,5216.524856,203.9980011,Pomponio,23
364,1,6008183.302,1935835.917,364,5219.805763,201.8179932,Pomponio,23
365,1,6008186.544,1935835.409,365,5223.086721,202.6759949,Pomponio,23
